id_commande,id_client,id_produit,date_commande,quantite,prix_unitaire,statut,ville_livraison,mode_paiement,id_livreur,date_livraison
ORD012941,C01233,P013,16/01/2024,5,11987.9,LIVRE,Fez,virement,L045,2022-10-02
ORD032961,C02568,P009,16/12/2023,5,5305.45,DONE,RABAT,PayPal,L009,2023-05-10
ORD038881,C02027,P001,Mar 29 2022,2,8107.96,retourné,Fez,virement,L014,2024-07-25
ORD040490,C01816,P015,2024-06-27,5,7656.24,DONE,Meknès,cash,L008,2023-02-09
ORD031796,C02431,P013,Nov 22 2024,10,13613.54,livré,EL JADIDA,CMI,L016,2023-03-21
ORD044542,C00796,P003,10/11/2024,8,12875.39,livre,MEKNES,carte,L039,2022-04-24
ORD000719,C02970,P004,2024-07-18,1,12448.73,LIVRE,Rbat,PayPal,L009,2023-05-19
ORD001157,C02860,P004,2023-06-03,8,139.28,retourné,MEKNES,CMI,L043,2023-12-20
ORD045813,C02131,P010,29/04/2023,4,7543.8,OK,Rbat,PayPal,L042,
ORD042143,C00338,P015,28/04/2024,10,4044.58,en_cours,marrakech,PayPal,L045,
ORD039621,C00156,P018,Jun 13 2023,2,12543.04,retourne,safi,virement,,2024-05-02
ORD006910,C00780,P009,11/04/2022,3,3117.5,DONE,NADOR,CMI,L038,2024-09-23
ORD037376,C02601,P001,05/03/2022,10,10364.93,OK,TETOUAN,virement,L032,
ORD003320,C02732,P003,2022-07-23,1,9358.55,en_cours,TETOUAN,virement,L050,
ORD040241,C02712,P005,17/07/2022,5,4636.43,DONE,TNG,PayPal,L012,2024-05-09
ORD037344,C00905,P018,Apr 03 2024,8,0.0,DONE,RABAT,CMI,L049,2024-05-09
ORD026915,C02197,P010,24/12/2024,4,10516.74,DONE,Beni Mellal,virement,L003,2024-06-29
ORD002255,C02846,P016,20/02/2022,10,11842.99,livre,EL JADIDA,CMI,L040,2022-03-10
ORD003977,C02910,P007,2023-09-22,7,8724.02,annule,Rbat,PayPal,L004,
ORD004302,C00390,P013,2024-03-01,4,13437.03,livré,safi,PayPal,L008,2023-02-04
ORD025401,C02650,P002,01/11/2022,-10,367.59,OK,Tétouan,carte,L030,
ORD004273,C00777,P011,2024-03-20,9,11990.57,LIVRE,errachidia,PayPal,L008,2023-08-27
ORD008039,C01293,P007,2024-01-14,-1,8546.46,livre,el jadida,virement,L029,2023-02-22
ORD023867,C00571,P010,Nov 30 2022,7,3178.49,en_cours,Tétouan,virement,L024,
ORD041305,C01013,P007,Aug 21 2022,2,11978.28,OK,Agdir,cash,L027,
ORD041838,C00646,P002,20/05/2022,7,7267.12,DONE,agadir,PayPal,L030,2022-02-03
ORD045734,C02993,P002,20/02/2023,2,3900.07,retourne,SAFI,cash,L009,2024-08-21
ORD017598,C01918,P006,2022-04-28,1,2243.09,OK,EL JADIDA,virement,L039,
ORD017096,C01698,P004,30/07/2024,3,9685.04,en_cours,EL JADIDA,carte,L023,
ORD013869,C02577,P014,Oct 08 2022,6,8040.4,LIVRE,SAFI,CMI,L034,2024-11-13
ORD025854,C01233,P013,18/03/2022,7,6029.91,livré,Rbat,CMI,L017,2024-08-09
ORD029524,C01421,P003,2024-10-15,10,9577.44,livré,RABAT,CMI,L027,2023-08-29
ORD038996,C00426,P012,2022-05-13,3,11270.31,livre,Oujda ,virement,L015,2022-02-01
ORD010282,C00539,P018,2022-12-09,5,12006.26,OK,kénitra,cash,L023,
ORD020034,C01416,P013,24/01/2022,6,5188.22,livre,KENITRA,carte,L044,2024-06-20
ORD000294,C02237,P001,2022-12-14,2,2863.7,livre,ERRACHIDIA,cash,L012,2024-01-16
ORD023146,C00849,P008,21/09/2024,5,3797.55,LIVRE,tetouan,virement,L010,2023-02-20
ORD035127,C02016,P003,2024-08-02,3,3446.31,LIVRE,Fès,carte,L034,2022-01-10
ORD027019,C02092,P017,23/05/2023,2,11736.96,retourne,MEKNES,carte,L017,2022-07-29
ORD001583,C01726,P015,21/04/2022,5,8104.69,livré,tetouan,virement,L016,2023-07-21
ORD035323,C01468,P018,Feb 21 2022,7,14260.81,DONE,AGADIR,PayPal,L031,2023-04-03
ORD040035,C01486,P010,2022-10-01,3,7132.57,LIVRE,Agdir,carte,L034,2024-02-08
ORD039361,C02296,P005,2022-07-11,6,4417.58,en_cours,TETOUAN,CMI,L009,
ORD043182,C00968,P016,2022-07-10,6,5879.81,DONE,EL JADIDA,PayPal,L045,2024-04-15
ORD003122,C00320,P013,2024-09-08,9,13686.42,DONE,el jadida,cash,L031,2023-08-13
ORD032424,C00029,P018,26/02/2022,10,6114.57,en_cours,OUJDA,CMI,,
ORD017605,C02710,P012,2023-06-02,9,14595.39,livre,Rbat,cash,L008,2023-01-01
ORD030233,C01436,P001,08/08/2023,10,8125.42,livré,ERRACHIDIA,cash,L026,2023-05-07
ORD042024,C00831,P005,14/10/2023,3,4441.8,livré,TETOUAN,cash,L009,2023-11-23
ORD005172,C00235,P004,10/12/2023,8,1553.48,livre,Tétouan,cash,L034,2024-11-11
ORD012250,C01786,P020,2024-07-12,10,9505.95,OK,Eljadida,CMI,,
ORD011384,C00699,P010,2024-01-01,6,6250.14,livre,safi,PayPal,L008,2024-10-30
ORD026907,C02077,P010,2022-07-03,7,3518.65,LIVRE,NADOR,carte,L022,2023-05-12
ORD016572,C00998,P017,02/10/2024,2,4479.05,DONE,MEKNES,CMI,L029,2024-09-22
ORD009859,C01063,P004,12/08/2022,10,13273.46,annulé,NADOR,carte,L048,
ORD047900,C00538,P014,2022-03-01,5,14325.33,LIVRE,el jadida,PayPal,L036,2023-10-13
ORD015930,C02927,P002,2023-03-11,2,58.19,LIVRE,ERRACHIDIA,PayPal,L014,2022-07-10
ORD022058,C01547,P003,29/11/2022,2,12444.42,en_cours,kenitra,PayPal,,
ORD000665,C00840,P015,2023-11-05,5,1835.49,livre,AGADIR,PayPal,,2023-10-30
ORD030180,C01493,P001,Nov 06 2024,4,12133.53,livre,Fès,PayPal,L027,2023-01-05
ORD012655,C02808,P018,09/07/2023,9,11104.92,annule,SAFI,PayPal,L041,
ORD031511,C00501,P018,25/03/2022,2,9571.67,en_cours,oujda,CMI,L029,
ORD010965,C01931,P019,04/02/2024,5,4181.15,LIVRE,agadir,cash,L044,2022-11-26
ORD003607,C00543,P016,12/05/2023,1,3734.78,DONE,Oujda ,carte,L003,2023-02-23
ORD028169,C01459,P004,2024-08-23,7,14286.45,DONE,Tétouan,CMI,L012,2022-07-25
ORD028442,C01023,P011,2023-08-23,8,2836.79,livre,KENITRA,cash,L030,2023-11-26
ORD045409,C00906,P014,2024-10-02,6,14823.59,en_cours,marrakech,PayPal,,
ORD031724,C00260,P012,16/05/2024,8,10048.73,retourné,CASA,virement,L004,2024-08-27
ORD026319,C02702,P019,2024-06-14,5,3882.2,LIVRE,MEKNES,PayPal,L031,2024-01-10
ORD043794,C01514,P005,05/09/2022,-6,3223.13,LIVRE,Casa,PayPal,L008,2023-07-02
ORD049336,C02775,P008,2022-06-30,2,4054.62,OK,kenitra,cash,,
ORD042866,C02973,P001,2024-10-16,10,13440.84,en_cours,Casa,virement,,
ORD041154,C00693,P009,2022-01-06,9,13518.0,livré,TNG,cash,L027,2022-12-06
ORD036345,C00938,P002,2022-02-06,10,6131.78,annulé,Marrakesh,carte,L022,
ORD039965,C00172,P014,06/02/2022,2,14238.36,DONE,SAFI,carte,L025,2022-08-17
ORD041326,C00558,P008,2024-04-24,7,7367.86,LIVRE,safi,PayPal,L022,2023-04-18
ORD029079,C00829,P015,Mar 11 2023,4,11404.21,livré,Tétouan,carte,L034,2024-12-01
ORD018052,C02965,P013,Jun 25 2024,4,14441.7,retourne,FES,CMI,,2023-03-23
ORD042372,C00898,P005,May 25 2024,3,1517.45,livre,Beni Mellal,cash,,2022-10-30
ORD046759,C01503,P020,2023-09-04,1,1889.1,DONE,AGADIR,cash,L049,2024-10-13
ORD017013,C01254,P009,2024-10-07,8,9708.19,KO,agadir,PayPal,,
ORD030274,C02266,P001,06/07/2022,8,14667.19,DONE,MARRAKECH,cash,L038,2024-11-18
ORD001314,C01850,P002,04/11/2024,10,5146.03,OK,Fez,PayPal,L037,
ORD045335,C01945,P005,2022-08-21,10,5002.83,LIVRE,EL JADIDA,CMI,L032,2022-07-08
ORD030771,C00031,P017,2022-09-22,8,1793.64,LIVRE,kénitra,PayPal,L035,2023-09-13
ORD008943,C01687,P006,03/02/2023,7,10133.48,livre,tetouan,virement,L001,2022-03-07
ORD016663,C01689,P014,2024-02-04,6,4451.61,LIVRE,Fez,PayPal,,2024-02-05
ORD029055,C00621,P001,2023-12-26,6,13056.71,retourné,kenitra,virement,L039,2024-06-13
ORD045001,C01514,P008,17/03/2022,10,8244.4,DONE,Eljadida,virement,L007,2023-09-15
ORD021355,C01465,P005,18/01/2024,1,555.06,DONE,beni mellal,PayPal,L033,2024-09-14
ORD026415,C01052,P002,17/09/2023,10,7495.49,LIVRE,casablanca,carte,L037,2023-06-02
ORD046856,C02498,P012,Jan 24 2022,2,12207.8,DONE,Meknès,virement,L020,2022-04-15
ORD040736,C00597,P013,08/08/2023,6,2164.08,en_cours,rabat,cash,L030,
ORD027268,C01527,P012,30/03/2024,8,5761.37,retourne,Mrakech,carte,L014,2022-11-10
ORD044069,C00203,P020,Oct 23 2023,10,338.25,livre,marrakech,CMI,L022,2023-07-27
ORD021468,C02904,P001,10/09/2024,5,5736.96,livré,safi,carte,L040,2022-03-23
ORD028555,C00986,P005,Aug 18 2023,3,5916.93,livre,rabat,carte,L008,2022-12-25
ORD043478,C02317,P013,2024-12-13,4,6822.11,annulé,MARRAKECH,CMI,L032,
ORD035756,C02177,P004,Sep 08 2022,7,9719.58,retourne,CASA,virement,L023,2022-02-09
ORD022465,C02174,P007,24/10/2022,9,1751.25,livre,errachidia,cash,L009,2022-11-20
ORD008867,C01861,P002,Feb 07 2024,7,11406.28,retourne,TNG,cash,L032,2024-02-21
ORD027894,C01864,P005,04/06/2023,4,8001.5,annulé,KENITRA,virement,L026,
ORD044795,C02283,P015,2024-02-02,1,8391.18,livré,Oujda ,virement,L009,2024-07-12
ORD011651,C00078,P009,2022-12-05,1,12356.97,LIVRE,tetouan,carte,L013,2024-02-13
ORD007934,C01166,P011,2023-02-17,8,12038.48,retourne,errachidia,virement,L024,2023-03-07
ORD036475,C00529,P004,2022-03-06,6,12911.57,retourné,Marrakesh,PayPal,L031,2024-02-08
ORD009591,C00011,P020,Feb 19 2024,9,11740.76,retourné,nador,carte,L034,2024-03-24
ORD003366,C01691,P008,2023-01-15,5,11427.76,LIVRE,kénitra,cash,L042,2023-07-22
ORD010187,C01308,P007,2022-01-12,5,3919.23,annulé,beni mellal,PayPal,L015,
ORD041789,C00946,P010,2023-10-27,2,4276.06,livre,casablanca,PayPal,,2023-02-16
ORD040632,C01377,P005,2023-09-25,10,14593.61,livre,RABAT,virement,L006,2023-03-09
ORD022847,C01468,P003,07/01/2024,3,5468.58,en_cours,Tnja,virement,L040,
ORD015224,C00155,P018,28/05/2022,6,9185.13,retourné,oujda,CMI,L004,2022-09-12
ORD020790,C00306,P003,2024-08-30,10,8067.82,LIVRE,el jadida,virement,L029,2023-08-25
ORD017245,C02982,P012,2022-08-19,7,6349.32,retourné,Eljadida,carte,L017,2022-08-15
ORD049872,C01087,P004,22/10/2023,9,9829.37,LIVRE,oujda,carte,L017,2023-08-23
ORD038933,C00394,P014,16/06/2024,2,4791.62,DONE,TETOUAN,CMI,L038,2023-12-10
ORD037689,C02133,P014,2024-09-15,5,14468.64,livré,Beni Mellal,CMI,L028,2023-06-30
ORD035225,C00138,P008,Aug 24 2024,3,3325.92,annulé,beni mellal,PayPal,L041,
ORD016416,C01507,P016,13/10/2023,2,3775.39,retourne,errachidia,carte,L015,2024-07-23
ORD019238,C01364,P002,2022-07-28,3,185.05,OK,Tétouan,CMI,L025,
ORD041165,C02306,P019,2022-05-10,7,9296.89,LIVRE,Beni Mellal,CMI,L003,2023-09-28
ORD008146,C01552,P008,30/04/2024,7,12086.4,retourné,TNG,cash,L020,2024-01-18
ORD019553,C00741,P019,20/10/2022,10,1714.09,en_cours,Mrakech,PayPal,L009,
ORD006355,C01620,P011,2023-03-09,5,11620.89,livre,RABAT,CMI,L038,2024-08-23
ORD046650,C02823,P020,2023-04-01,7,2985.73,OK,oujda,PayPal,L050,
ORD003558,C02526,P014,11/06/2023,6,11995.84,livre,TETOUAN,cash,L013,2023-09-24
ORD025942,C02899,P017,2024-10-07,6,12603.64,livré,Eljadida,CMI,L045,2024-02-26
ORD004717,C00417,P010,28/05/2023,6,2754.28,KO,Rbat,PayPal,L002,
ORD038153,C00990,P003,May 31 2022,8,7931.97,livre,BENI MELLAL,virement,L035,2024-04-21
ORD013507,C02010,P012,06/05/2024,10,1648.21,livré,Mrakech,virement,L036,2023-12-16
ORD024235,C00799,P015,2023-05-13,6,7970.57,LIVRE,casablanca ,CMI,L012,2022-11-04
ORD039960,C01345,P002,2024-07-16,4,5469.75,DONE,Beni Mellal,PayPal,L021,2023-06-04
ORD034313,C02441,P008,Jan 12 2022,1,12616.29,LIVRE,EL JADIDA,carte,L046,2023-09-05
ORD011838,C01635,P009,2022-06-24,2,120.74,KO,OUJDA,CMI,L003,
ORD032206,C00816,P008,2022-09-07,5,880.74,livré,Casa,virement,L017,2022-05-03
ORD037570,C00788,P002,Sep 29 2023,9,13035.14,en_cours,Tnja,CMI,L047,
ORD005699,C01168,P005,2024-08-09,2,5102.25,livre,meknes,PayPal,L032,2022-07-19
ORD009493,C01250,P012,Jul 20 2023,4,11332.4,KO,Rbat,cash,L042,
ORD025211,C00482,P011,2022-06-27,7,13959.77,livré,oujda,cash,L036,2022-08-17
ORD039181,C01870,P013,2022-02-13,10,13211.13,KO,NADOR,cash,L010,
ORD036247,C01803,P003,24/03/2024,5,9492.55,annule,safi,PayPal,L027,
ORD008005,C02630,P020,02/02/2022,10,8994.37,OK,Oujda ,CMI,L046,
ORD037589,C01165,P020,Dec 09 2022,6,4573.99,retourne,agadir,virement,L011,2024-11-22
ORD033398,C00984,P019,Jul 15 2022,2,8218.17,LIVRE,CASA,CMI,L037,2023-04-19
ORD017825,C00938,P017,Jun 06 2024,8,10252.5,annulé,Marrakesh,carte,L025,
ORD027345,C00549,P017,May 14 2024,10,7265.24,livre,MEKNES,cash,L047,2023-07-05
ORD024929,C00745,P019,Jul 10 2023,6,13707.53,annule,Beni Mellal,PayPal,L029,
ORD031107,C01105,P020,2024-06-12,5,11476.65,livre,kénitra,cash,L002,2024-03-22
ORD000585,C00868,P009,Jan 02 2023,1,5092.99,DONE,errachidia,virement,L044,2024-08-30
ORD040931,C01546,P005,2023-01-08,2,1641.37,LIVRE,Agdir,CMI,L049,2023-09-01
ORD000186,C00442,P018,2024-01-24,10,4828.24,DONE,Meknès,CMI,L042,2022-09-03
ORD035710,C00839,P010,18/06/2022,3,7956.57,en_cours,kénitra,CMI,L048,
ORD032237,C01679,P012,28/07/2024,5,3426.98,LIVRE,kenitra,carte,L024,2022-12-13
ORD002072,C02788,P003,06/07/2022,6,4563.27,retourne,meknes,cash,L005,2022-05-27
ORD014413,C01369,P010,2022-02-11,2,2669.8,livre,meknes,CMI,L029,2024-07-04
ORD038902,C01249,P017,2024-04-09,9,1314.31,DONE,OUJDA,CMI,L032,2022-09-30
ORD034440,C02090,P018,25/02/2022,8,108.64,DONE,Rbat,cash,L021,2023-09-10
ORD018025,C02622,P007,2023-08-04,1,11584.78,retourné,kenitra,CMI,L040,2023-08-25
ORD044943,C01438,P005,2024-03-23,8,2878.61,OK,TETOUAN,cash,L046,
ORD030869,C00875,P015,2023-02-08,4,5892.04,en_cours,Casa,CMI,L033,
ORD003309,C01296,P005,2023-03-25,1,6580.33,OK,AGADIR,virement,L046,
ORD014580,C02096,P018,Sep 16 2023,2,5977.94,retourné,Tétouan,CMI,L041,2022-05-07
ORD021272,C01504,P008,Feb 21 2022,8,14629.3,LIVRE,Agdir,carte,L047,2024-09-08
ORD014515,C02817,P008,27/01/2022,8,5558.95,LIVRE,MARRAKECH,carte,L027,2023-07-29
ORD040098,C01645,P018,2024-02-14,1,6732.14,livre,OUJDA,PayPal,L034,2023-11-03
ORD032976,C01597,P006,2022-10-20,9,12466.13,livre,Mrakech,CMI,L032,2023-12-31
ORD041152,C00350,P007,2022-10-15,7,2111.07,livré,errachidia,cash,L005,2022-08-05
ORD047503,C00197,P019,Feb 25 2022,10,9263.86,en_cours,KENITRA,virement,L023,
ORD014619,C02681,P020,10/03/2023,10,3972.53,KO,NADOR,carte,L033,
ORD040665,C00309,P002,2022-10-09,3,532.15,livré,MARRAKECH,virement,L033,2023-11-03
ORD048509,C02719,P012,31/07/2022,2,9498.21,annulé,errachidia,virement,L050,
ORD039919,C01355,P001,2023-02-21,8,11764.32,DONE,NADOR,CMI,L048,2022-11-12
ORD007896,C01285,P007,28/03/2024,1,1033.66,DONE,Eljadida,virement,L012,2022-01-29
ORD005087,C01214,P009,May 17 2023,6,10587.07,en_cours,KENITRA,cash,L003,
ORD042917,C01703,P017,19/07/2022,10,3534.08,retourne,KENITRA,virement,L004,2023-12-13
ORD005730,C01864,P003,Jan 30 2024,1,11989.38,en_cours,tanger,carte,L046,
ORD028667,C01341,P005,2023-05-28,3,2689.02,DONE,nador,virement,L045,2023-04-24
ORD018394,C02670,P020,Mar 13 2024,3,14137.58,LIVRE,Agdir,cash,L015,2022-12-01
ORD002040,C02386,P006,2023-07-02,2,7014.82,DONE,Meknès,PayPal,L042,2022-09-19
ORD031056,C00892,P017,Feb 08 2023,2,12532.53,livré,tanger ,CMI,L016,2024-02-21
ORD046534,C02749,P009,09/11/2022,6,4561.73,en_cours,Beni Mellal,carte,L015,
ORD015946,C02985,P004,2023-01-05,1,12555.77,DONE,AGADIR,CMI,L024,2022-04-11
ORD026347,C01678,P001,08/06/2022,9,1523.12,LIVRE,rabat,carte,L018,2022-06-14
ORD047631,C02769,P014,2024-09-06,7,14437.78,OK,ERRACHIDIA,CMI,L023,
ORD046577,C00876,P006,Sep 21 2022,3,2088.61,DONE,BENI MELLAL,PayPal,L032,2023-06-27
ORD020800,C01029,P009,May 13 2022,7,13405.54,DONE,SAFI,CMI,L042,2024-04-08
ORD038870,C01328,P020,13/05/2022,2,3885.09,LIVRE,Eljadida,CMI,L029,2024-09-15
ORD010477,C02197,P014,11/09/2024,2,3454.31,livre,Beni Mellal,virement,L032,2024-04-19
ORD015767,C02156,P020,2023-06-22,7,11354.34,LIVRE,NADOR,PayPal,L030,2022-05-02
ORD026862,C01354,P016,09/07/2024,1,10458.36,livré,FES,CMI,L001,2022-08-27
ORD004749,C00757,P020,2022-10-21,4,2885.05,livre,KENITRA,carte,L003,2022-05-08
ORD038897,C01403,P014,2022-09-05,7,8151.99,DONE,Fès,carte,L025,2022-06-22
ORD021653,C00706,P015,21/08/2022,3,4361.61,LIVRE,Oujda ,carte,L023,2024-11-18
ORD024254,C01496,P016,2023-09-26,4,13759.96,livré,beni mellal,virement,L049,2023-01-01
ORD040168,C02648,P007,30/08/2024,4,7038.21,retourné,errachidia,PayPal,,2022-06-27
ORD008796,C00985,P020,24/03/2022,5,7139.7,livre,Tnja,CMI,L030,2024-09-10
ORD036026,C00843,P014,May 17 2023,7,11229.72,KO,rabat,carte,L007,
ORD026423,C00340,P014,2024-05-22,8,6875.47,LIVRE,meknes,PayPal,,2023-12-04
ORD006740,C02164,P020,2023-09-30,8,3405.69,en_cours,Beni Mellal,PayPal,L018,
ORD044502,C02635,P017,2024-12-05,2,8060.38,retourné,SAFI,cash,,2022-09-29
ORD027598,C00638,P017,17/07/2022,10,2590.21,LIVRE,Eljadida,cash,L044,2024-11-06
ORD009052,C00232,P007,2024-07-09,9,1965.82,livre,rabat,cash,L011,2024-02-15
ORD022719,C00416,P002,2024-12-10,7,8478.05,livre,Meknès,carte,L016,2022-02-23
ORD027942,C00277,P010,2023-02-22,1,7595.11,OK,tetouan,virement,L009,
ORD036260,C02829,P014,03/05/2022,4,13828.04,OK,safi,CMI,L005,
ORD007573,C00652,P011,2022-06-06,3,14503.31,livré,FES,CMI,L017,2022-08-27
ORD048527,C00064,P013,20/08/2022,10,8542.36,livre,TNG,cash,L016,2022-03-03
ORD002276,C02422,P014,2022-10-02,2,1741.37,livre,Beni Mellal,carte,L029,2024-11-15
ORD005536,C01178,P002,2024-06-20,6,10942.61,en_cours,Marrakesh,PayPal,L008,
ORD008402,C00061,P018,17/03/2022,8,2874.81,livré,SAFI,PayPal,L012,2024-01-05
ORD039327,C00441,P012,2023-05-14,2,2700.29,livre,oujda,carte,L047,2023-04-09
ORD046023,C02234,P002,Sep 28 2022,1,6073.65,OK,Oujda ,cash,L003,
ORD030630,C02610,P005,Dec 13 2024,10,12111.8,OK,MEKNES,cash,L025,
ORD022614,C01719,P010,Mar 21 2024,1,13129.35,LIVRE,el jadida,virement,L011,2023-04-09
ORD036613,C02702,P010,Mar 23 2022,2,5869.02,livré,Mrakech,PayPal,L020,2024-10-15
ORD047143,C01338,P004,2024-04-30,7,1288.78,LIVRE,MEKNES,cash,L008,2022-09-25
ORD022875,C02653,P018,2022-10-21,1,6519.77,livré,fes,virement,L025,2022-09-03
ORD019571,C00955,P001,2024-04-18,1,8893.36,livre,FES,carte,L001,2024-05-25
ORD009791,C01856,P002,20/09/2024,8,8184.83,livre,TETOUAN,virement,L048,2024-10-17
ORD044156,C01022,P003,28/12/2023,6,10353.31,livré,FES,carte,L032,2022-10-22
ORD024260,C02647,P013,2024-11-19,6,7671.44,LIVRE,ERRACHIDIA,PayPal,L031,2024-02-02
ORD011493,C01139,P015,09/07/2024,2,14242.09,en_cours,Rbat,virement,L033,
ORD025237,C02995,P012,24/02/2023,5,13067.95,retourne,MARRAKECH,CMI,L034,2022-03-13
ORD038012,C01495,P002,Oct 11 2022,2,9186.17,KO,kenitra,cash,L022,
ORD023264,C00721,P011,2022-05-01,2,11462.8,DONE,SAFI,virement,L043,2022-05-19
ORD019158,C02706,P012,10/06/2024,2,14039.79,annulé,oujda,carte,L015,
ORD013583,C00448,P016,2022-10-31,5,11211.07,OK,casablanca ,CMI,,
ORD043467,C00336,P020,14/10/2022,9,4507.29,livré,nador,PayPal,L024,2022-05-31
ORD004907,C00070,P008,Mar 03 2022,1,4899.45,DONE,Eljadida,PayPal,L039,2023-07-14
ORD040893,C01001,P012,May 31 2024,7,11020.97,retourne,safi,CMI,L043,2024-10-29
ORD032348,C01947,P012,23/09/2022,8,4249.7,LIVRE,Tnja,CMI,L026,2023-02-18
ORD024291,C02528,P009,2022-07-14,9,12117.01,livre,kénitra,virement,L037,2024-03-30
ORD028899,C01689,P007,2023-11-16,4,7042.07,OK,EL JADIDA,carte,L038,
ORD032974,C02579,P018,01/03/2024,1,10972.48,LIVRE,EL JADIDA,virement,L036,2022-09-02
ORD022232,C02068,P015,2023-12-02,5,4938.38,DONE,SAFI,CMI,L038,2022-08-15
ORD020822,C01769,P010,Jan 17 2023,6,12667.46,OK,agadir,cash,L043,
ORD023796,C02397,P017,15/10/2022,6,9890.44,livre,Mrakech,cash,L041,2024-11-24
ORD041650,C02281,P009,2023-03-02,1,1210.23,LIVRE,CASA,virement,L019,2023-12-09
ORD044756,C00635,P004,13/10/2023,9,1745.14,retourné,FES,cash,L018,2023-09-22
ORD019923,C01340,P019,12/01/2024,2,14067.44,KO,rabat,cash,L042,
ORD037954,C01718,P007,16/10/2023,5,12767.34,OK,SAFI,cash,L010,
ORD022887,C00970,P006,2022-06-10,1,8886.2,livre,ERRACHIDIA,CMI,L006,2023-05-05
ORD023894,C01786,P016,Jul 25 2024,6,6351.48,livre,Meknès,carte,L024,2022-11-06
